ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Reported land area ,Forest land area,Land area under non-agricultural uses,Barren and unculturable land area,Permanent pasture and other grazing land area,Land under miscellaneous Tree Crops and Groves not included in Net Area Sown,Culturable waste land area,Fallow lands other than current fallow lands,Current Fallow land area,Net sown land area,Cropped land area,Land area sown more than once
3338,India,20,Jharkhand,342,Simdega,2018,"Agriculture Year (Jul - Jun), 2018",379434,103674,19542,21736,2749,12053,15177,62480,59335,82688,83400,712
3339,India,20,Jharkhand,342,Simdega,2019,"Agriculture Year (Jul - Jun), 2019",379434,103674,19542,21736,2749,12053,15176,63299,60176,81029,81869,840
3340,India,20,Jharkhand,342,Simdega,2020,"Agriculture Year (Jul - Jun), 2020",379434,103674,19542,21736,2749,12053,35176,63268,60120,61116,81977,20861
3341,India,20,Jharkhand,343,West Singhbhum,2011,"Agriculture Year (Jul - Jun), 2011",567769,142336,45927,55086,3111,4989,37559,79585,90844,108332,121344,13012
3342,India,20,Jharkhand,343,West Singhbhum,2012,"Agriculture Year (Jul - Jun), 2012",567769,142336,45714,55181,3674,4989,37534,80235,91316,106790,134690,27900
3343,India,20,Jharkhand,343,West Singhbhum,2013,"Agriculture Year (Jul - Jun), 2013",567769,142336,45824,55335,3712,4998,37502,77156,87259,113647,141849,28202
3344,India,20,Jharkhand,343,West Singhbhum,2014,"Agriculture Year (Jul - Jun), 2014",567769,142336,45824,55335,3712,4998,37502,77694,87783,112585,129726,17141
3345,India,20,Jharkhand,343,West Singhbhum,2015,"Agriculture Year (Jul - Jun), 2015",567769,142336,47910,55880,5979,6547,38958,78558,88922,102679,131750,29071
3346,India,20,Jharkhand,343,West Singhbhum,2016,"Agriculture Year (Jul - Jun), 2016",567769,142336,47608,56831,6809,9173,38219,82689,98077,86027,117553,31526
3347,India,20,Jharkhand,343,West Singhbhum,2017,"Agriculture Year (Jul - Jun), 2017",567769,142336,47608,56831,6862,9456,38219,83379,98046,85032,132256,47224
3348,India,20,Jharkhand,343,West Singhbhum,2018,"Agriculture Year (Jul - Jun), 2018",567769,142336,47608,56831,6862,9456,38219,83379,98046,85032,134208,49176
3349,India,20,Jharkhand,343,West Singhbhum,2019,"Agriculture Year (Jul - Jun), 2019",567769,142336,47607,56831,6862,9456,38219,83379,98046,85033,133426,48393
3350,India,20,Jharkhand,343,West Singhbhum,2020,"Agriculture Year (Jul - Jun), 2020",567769,142336,47608,56831,6862,9495,38219,83379,98046,84993,137772,52779
3351,India,20,Jharkhand,606,Khunti,2011,"Agriculture Year (Jul - Jun), 2011",261088,45535,18748,19265,1963,1004,11185,50223,50531,62634,69133,6499
3352,India,20,Jharkhand,606,Khunti,2012,"Agriculture Year (Jul - Jun), 2012",261088,45535,18114,19656,1256,370,12917,51932,53569,57739,68592,10853
3353,India,20,Jharkhand,606,Khunti,2013,"Agriculture Year (Jul - Jun), 2013",261088,45535,18314,19531,1265,370,12993,45749,49391,67940,85327,17387
3354,India,20,Jharkhand,606,Khunti,2014,"Agriculture Year (Jul - Jun), 2014",261088,45535,18314,19531,1265,370,12993,51101,49697,62282,77781,15499
3355,India,20,Jharkhand,606,Khunti,2015,"Agriculture Year (Jul - Jun), 2015",261088,45535,17190,20844,2660,3191,11670,45370,47304,67324,103296,35972
3356,India,20,Jharkhand,606,Khunti,2016,"Agriculture Year (Jul - Jun), 2016",261088,45535,17201,20836,1911,3069,11880,50971,48792,60893,75866,14973
3357,India,20,Jharkhand,606,Khunti,2017,"Agriculture Year (Jul - Jun), 2017",261088,45535,17177,20838,2767,3181,11817,50215,52219,57339,68611,11272
3358,India,20,Jharkhand,606,Khunti,2018,"Agriculture Year (Jul - Jun), 2018",261088,45535,17112,20829,2767,3181,11858,47565,57598,54643,64561,9918
3359,India,20,Jharkhand,606,Khunti,2019,"Agriculture Year (Jul - Jun), 2019",261088,45535,16811,19287,2200,3909,11415,51675,57839,52417,68657,16240
3360,India,20,Jharkhand,606,Khunti,2020,"Agriculture Year (Jul - Jun), 2020",261088,45535,17067,20659,2767,3182,11834,50484,51603,57957,65815,7858
3361,India,20,Jharkhand,607,Ramgarh,2011,"Agriculture Year (Jul - Jun), 2011",139998,42276,18674,13111,2506,1207,1668,21414,27111,12031,15731,3700
3362,India,20,Jharkhand,607,Ramgarh,2012,"Agriculture Year (Jul - Jun), 2012",139998,42276,18658,12939,2424,1207,1608,22447,28174,10265,13390,3125
3363,India,20,Jharkhand,607,Ramgarh,2013,"Agriculture Year (Jul - Jun), 2013",139998,42276,17919,12995,2339,887,1738,24149,29094,8601,15671,7070
3364,India,20,Jharkhand,607,Ramgarh,2014,"Agriculture Year (Jul - Jun), 2014",139998,42276,17919,12995,2339,887,1738,23899,30166,7779,15702,7923
3365,India,20,Jharkhand,607,Ramgarh,2015,"Agriculture Year (Jul - Jun), 2015",139998,42276,16698,14065,2411,968,1665,23443,31612,6860,43769,36909
3366,India,20,Jharkhand,607,Ramgarh,2016,"Agriculture Year (Jul - Jun), 2016",139998,42276,13269,15988,2783,6767,1749,21625,32194,3347,21603,18256
3367,India,20,Jharkhand,607,Ramgarh,2017,"Agriculture Year (Jul - Jun), 2017",139998,42276,15702,12733,2355,887,1582,17097,26153,21213,26744,5531
3368,India,20,Jharkhand,607,Ramgarh,2018,"Agriculture Year (Jul - Jun), 2018",139998,42276,9314,20183,2355,887,1663,21540,26169,15611,25321,9710
3369,India,20,Jharkhand,607,Ramgarh,2019,"Agriculture Year (Jul - Jun), 2019",139998,42276,14522,12537,2364,888,1602,21678,24738,19393,25680,6287
3370,India,20,Jharkhand,607,Ramgarh,2020,"Agriculture Year (Jul - Jun), 2020",139998,42276,14592,12538,2355,888,1590,22261,25972,17526,22348,4822
3371,India,21,Odisha,344,Anugul,2011,"Agriculture Year (Jul - Jun), 2011",564580,271682,43000,16000,19000,5000,17000,39000,57000,96898,102641,5743
3372,India,21,Odisha,344,Anugul,2012,"Agriculture Year (Jul - Jun), 2012",566373,271682,47000,13000,20000,5000,25000,33000,50000,101691,109927,8236
3373,India,21,Odisha,344,Anugul,2013,"Agriculture Year (Jul - Jun), 2013",564091,271682,49000,10000,21000,4000,24000,40000,54000,90409,96019,5610
3374,India,21,Odisha,344,Anugul,2014,"Agriculture Year (Jul - Jun), 2014",572682,271682,45000,11000,22000,4000,23000,36000,57000,103000,110387,7387
3375,India,21,Odisha,344,Anugul,2015,"Agriculture Year (Jul - Jun), 2015",423343,122000,47000,16000,22000,5000,26000,34000,62000,89343,93385,4042
3376,India,21,Odisha,344,Anugul,2016,"Agriculture Year (Jul - Jun), 2016",423154,133000,49000,10000,19000,6000,28000,42000,56000,80154,94489,14335
3377,India,21,Odisha,344,Anugul,2017,"Agriculture Year (Jul - Jun), 2017",422580,125000,45000,7000,19000,5000,29000,44000,68000,80580,107256,26676
3378,India,21,Odisha,344,Anugul,2018,"Agriculture Year (Jul - Jun), 2018",422946,120000,49000,14000,19000,8000,32000,44000,60000,76946,81310,4364
3379,India,21,Odisha,344,Anugul,2019,"Agriculture Year (Jul - Jun), 2019",423259,133000,44000,12000,21000,6000,27000,36000,71000,73259,74492,1233
3380,India,21,Odisha,344,Anugul,2020,"Agriculture Year (Jul - Jun), 2020",422530,128000,51000,12000,21000,4000,31000,38000,68000,69530,72016,2486
3381,India,21,Odisha,345,Balangir,2011,"Agriculture Year (Jul - Jun), 2011",641452,154385,49000,16000,43000,1000,30000,30000,69000,249067,269814,20747
3382,India,21,Odisha,345,Balangir,2012,"Agriculture Year (Jul - Jun), 2012",653502,154385,52000,15000,43000,1000,30000,27000,53000,278117,310218,32101
3383,India,21,Odisha,345,Balangir,2013,"Agriculture Year (Jul - Jun), 2013",643934,154385,50000,17000,43000,1000,27000,22000,52000,277549,309262,31713
3384,India,21,Odisha,345,Balangir,2014,"Agriculture Year (Jul - Jun), 2014",637385,154385,53000,17000,42000,1000,26000,23000,52000,269000,299392,30392
3385,India,21,Odisha,345,Balangir,2015,"Agriculture Year (Jul - Jun), 2015",542108,51000,47000,21000,47000,1000,27000,29000,64000,255108,270794,15686
3386,India,21,Odisha,345,Balangir,2016,"Agriculture Year (Jul - Jun), 2016",542234,20000,72000,14000,38000,1000,22000,31000,112000,232234,263067,30833
3387,India,21,Odisha,345,Balangir,2017,"Agriculture Year (Jul - Jun), 2017",541777,62000,50000,19000,38000,1000,27000,53000,126000,165777,191102,25325
3388,India,21,Odisha,345,Balangir,2018,"Agriculture Year (Jul - Jun), 2018",541245,50000,47000,28000,49000,1000,41000,52000,101000,172245,175113,2868
3389,India,21,Odisha,345,Balangir,2019,"Agriculture Year (Jul - Jun), 2019",541905,45000,54000,22000,50000,1000,31000,62000,85000,191905,204924,13019
3390,India,21,Odisha,345,Balangir,2020,"Agriculture Year (Jul - Jun), 2020",541935,56000,51000,19000,48000,2000,27000,38000,108000,192935,205960,13025
3391,India,21,Odisha,346,Baleshwar,2011,"Agriculture Year (Jul - Jun), 2011",375958,33221,50000,0,14000,12000,22000,9000,17000,218737,251267,32530
3392,India,21,Odisha,346,Baleshwar,2012,"Agriculture Year (Jul - Jun), 2012",373258,33221,58000,7000,13000,13000,19000,10000,30000,190037,219029,28992
3393,India,21,Odisha,346,Baleshwar,2013,"Agriculture Year (Jul - Jun), 2013",368419,33221,56000,3000,14000,12000,18000,8000,19000,205198,237662,32464
3394,India,21,Odisha,346,Baleshwar,2014,"Agriculture Year (Jul - Jun), 2014",372221,33221,64000,6000,14000,12000,20000,9000,19000,195000,228366,33366
3395,India,21,Odisha,346,Baleshwar,2015,"Agriculture Year (Jul - Jun), 2015",349518,14000,59000,4000,16000,10000,21000,7000,15000,203518,235717,32199
3396,India,21,Odisha,346,Baleshwar,2016,"Agriculture Year (Jul - Jun), 2016",350244,4000,69000,3000,16000,11000,21000,10000,18000,198244,236162,37918
3397,India,21,Odisha,346,Baleshwar,2017,"Agriculture Year (Jul - Jun), 2017",350148,17000,53000,11000,14000,12000,19000,12000,26000,186148,220309,34161
3398,India,21,Odisha,346,Baleshwar,2018,"Agriculture Year (Jul - Jun), 2018",349825,11000,58000,3000,14000,12000,21000,12000,27000,191825,226058,34233
3399,India,21,Odisha,346,Baleshwar,2019,"Agriculture Year (Jul - Jun), 2019",350215,8000,68000,3000,12000,10000,29000,11000,31000,178215,210168,31953
3400,India,21,Odisha,346,Baleshwar,2020,"Agriculture Year (Jul - Jun), 2020",350744,3000,70000,3000,16000,11000,23000,12000,20000,192744,229279,36535
3401,India,21,Odisha,347,Bargarh,2011,"Agriculture Year (Jul - Jun), 2011",564619,121613,56000,8000,20000,1000,23000,22000,32000,281006,355695,74689
3402,India,21,Odisha,347,Bargarh,2012,"Agriculture Year (Jul - Jun), 2012",559753,121613,54000,6000,21000,1000,23000,23000,33000,277140,344521,67381
3403,India,21,Odisha,347,Bargarh,2013,"Agriculture Year (Jul - Jun), 2013",567847,121613,55000,6000,20000,1000,17000,22000,35000,290234,383897,93663
3404,India,21,Odisha,347,Bargarh,2014,"Agriculture Year (Jul - Jun), 2014",566613,121613,60000,6000,20000,1000,22000,23000,37000,276000,359282,83282
3405,India,21,Odisha,347,Bargarh,2015,"Agriculture Year (Jul - Jun), 2015",466937,29000,61000,5000,21000,1000,18000,22000,42000,267937,350307,82370
3406,India,21,Odisha,347,Bargarh,2016,"Agriculture Year (Jul - Jun), 2016",467917,25000,68000,10000,24000,1000,21000,25000,45000,248917,335412,86495
3407,India,21,Odisha,347,Bargarh,2017,"Agriculture Year (Jul - Jun), 2017",468565,23000,63000,7000,18000,1000,22000,27000,58000,249565,342470,92905
3408,India,21,Odisha,347,Bargarh,2018,"Agriculture Year (Jul - Jun), 2018",465704,28000,75000,7000,19000,1000,21000,24000,28000,262704,328258,65554
3409,India,21,Odisha,347,Bargarh,2019,"Agriculture Year (Jul - Jun), 2019",466440,19000,68000,12000,19000,2000,34000,28000,25000,259440,322591,63151
3410,India,21,Odisha,347,Bargarh,2020,"Agriculture Year (Jul - Jun), 2020",465202,23000,68000,12000,23000,1000,25000,25000,34000,254202,341153,86951
3411,India,21,Odisha,348,Bhadrak,2011,"Agriculture Year (Jul - Jun), 2011",247536,9707,31000,0,11000,3000,9000,6000,8000,169829,179630,9801
3412,India,21,Odisha,348,Bhadrak,2012,"Agriculture Year (Jul - Jun), 2012",248652,9707,32000,1000,11000,3000,9000,5000,11000,166945,173336,6391
3413,India,21,Odisha,348,Bhadrak,2013,"Agriculture Year (Jul - Jun), 2013",247543,9707,36000,2000,11000,3000,9000,4000,6000,166836,175492,8656
3414,India,21,Odisha,348,Bhadrak,2014,"Agriculture Year (Jul - Jun), 2014",246707,9707,34000,2000,12000,3000,11000,4000,11000,160000,172681,12681
3415,India,21,Odisha,348,Bhadrak,2015,"Agriculture Year (Jul - Jun), 2015",238028,1000,37000,3000,11000,3000,8000,5000,8000,162028,170455,8427
3416,India,21,Odisha,348,Bhadrak,2016,"Agriculture Year (Jul - Jun), 2016",237915,1000,39000,0,12000,2000,9000,5000,11000,158915,162941,4026
3417,India,21,Odisha,348,Bhadrak,2017,"Agriculture Year (Jul - Jun), 2017",235380,1000,44000,2000,10000,3000,10000,7000,12000,146380,162505,16125
3418,India,21,Odisha,348,Bhadrak,2018,"Agriculture Year (Jul - Jun), 2018",233957,0,37000,1000,14000,6000,12000,7000,7000,149957,153894,3937
3419,India,21,Odisha,348,Bhadrak,2019,"Agriculture Year (Jul - Jun), 2019",233978,2000,35000,2000,11000,4000,13000,5000,6000,155978,158758,2780
3420,India,21,Odisha,348,Bhadrak,2020,"Agriculture Year (Jul - Jun), 2020",234050,2000,46000,1000,10000,4000,11000,5000,6000,149050,155719,6669
3421,India,21,Odisha,349,Boudh,2011,"Agriculture Year (Jul - Jun), 2011",302488,127717,24000,12000,20000,0,12000,13000,23000,70771,77139,6368
3422,India,21,Odisha,349,Boudh,2012,"Agriculture Year (Jul - Jun), 2012",304371,127717,27000,5000,19000,1000,13000,15000,20000,76654,85305,8651
3423,India,21,Odisha,349,Boudh,2013,"Agriculture Year (Jul - Jun), 2013",296141,127717,30000,5000,19000,1000,11000,10000,20000,72424,78385,5961
3424,India,21,Odisha,349,Boudh,2014,"Agriculture Year (Jul - Jun), 2014",299717,127717,24000,8000,24000,0,15000,18000,18000,65000,68870,3870
3425,India,21,Odisha,349,Boudh,2015,"Agriculture Year (Jul - Jun), 2015",203224,29000,33000,8000,20000,0,16000,14000,21000,62224,65036,2812
3426,India,21,Odisha,349,Boudh,2016,"Agriculture Year (Jul - Jun), 2016",202962,33000,26000,14000,19000,0,18000,14000,15000,63962,66189,2227
3427,India,21,Odisha,349,Boudh,2017,"Agriculture Year (Jul - Jun), 2017",202494,35000,24000,12000,19000,1000,22000,19000,17000,53494,64058,10564
3428,India,21,Odisha,349,Boudh,2018,"Agriculture Year (Jul - Jun), 2018",201288,32000,27000,6000,17000,0,19000,21000,14000,65288,67432,2144
3429,India,21,Odisha,349,Boudh,2019,"Agriculture Year (Jul - Jun), 2019",203222,28000,24000,12000,19000,0,20000,18000,16000,66222,69232,3010
3430,India,21,Odisha,349,Boudh,2020,"Agriculture Year (Jul - Jun), 2020",201522,36000,30000,3000,19000,1000,14000,13000,13000,72522,75593,3071
3431,India,21,Odisha,350,Cuttack,2011,"Agriculture Year (Jul - Jun), 2011",388516,78790,82000,12000,13000,6000,12000,17000,21000,146726,206089,59363
3432,India,21,Odisha,350,Cuttack,2012,"Agriculture Year (Jul - Jun), 2012",387704,78790,83000,8000,15000,7000,11000,25000,18000,141914,194684,52770
3433,India,21,Odisha,350,Cuttack,2013,"Agriculture Year (Jul - Jun), 2013",384253,78790,84000,13000,13000,7000,19000,25000,15000,129463,154778,25315
3434,India,21,Odisha,350,Cuttack,2014,"Agriculture Year (Jul - Jun), 2014",387790,78790,83000,10000,14000,10000,18000,23000,22000,129000,160031,31031
3435,India,21,Odisha,350,Cuttack,2015,"Agriculture Year (Jul - Jun), 2015",333968,22000,89000,13000,14000,7000,16000,22000,24000,126968,162621,35653
3436,India,21,Odisha,350,Cuttack,2016,"Agriculture Year (Jul - Jun), 2016",333921,19000,95000,6000,12000,9000,14000,20000,31000,127921,164653,36732
3437,India,21,Odisha,350,Cuttack,2017,"Agriculture Year (Jul - Jun), 2017",333807,30000,78000,9000,12000,9000,15000,20000,46000,114807,138280,23473
3438,India,21,Odisha,350,Cuttack,2018,"Agriculture Year (Jul - Jun), 2018",334131,21000,83000,12000,11000,9000,17000,21000,55000,105131,124999,19868
3439,India,21,Odisha,350,Cuttack,2019,"Agriculture Year (Jul - Jun), 2019",333425,24000,73000,9000,14000,9000,13000,20000,42000,129425,174504,45079
3440,India,21,Odisha,350,Cuttack,2020,"Agriculture Year (Jul - Jun), 2020",332456,23000,91000,13000,12000,5000,13000,17000,48000,110456,146189,35733
3441,India,21,Odisha,351,Deogarh,2011,"Agriculture Year (Jul - Jun), 2011",238467,156022,13000,2000,6000,1000,7000,6000,6000,41445,42497,1052
3442,India,21,Odisha,351,Deogarh,2012,"Agriculture Year (Jul - Jun), 2012",264581,156022,17000,6000,6000,1000,11000,12000,9000,46559,49539,2980
3443,India,21,Odisha,351,Deogarh,2013,"Agriculture Year (Jul - Jun), 2013",266268,156022,14000,5000,5000,0,19000,9000,7000,51246,53896,2650
3444,India,21,Odisha,351,Deogarh,2014,"Agriculture Year (Jul - Jun), 2014",263022,156022,16000,4000,6000,1000,13000,8000,9000,50000,52338,2338
3445,India,21,Odisha,351,Deogarh,2015,"Agriculture Year (Jul - Jun), 2015",171315,68000,14000,6000,5000,1000,11000,8000,10000,48315,48884,569
3446,India,21,Odisha,351,Deogarh,2016,"Agriculture Year (Jul - Jun), 2016",171237,70000,14000,5000,5000,1000,12000,8000,10000,46237,47699,1462
3447,India,21,Odisha,351,Deogarh,2017,"Agriculture Year (Jul - Jun), 2017",171473,79000,14000,4000,6000,1000,10000,7000,5000,45473,50920,5447
3448,India,21,Odisha,351,Deogarh,2018,"Agriculture Year (Jul - Jun), 2018",171131,70000,13000,3000,4000,1000,15000,4000,4000,57131,58677,1546
3449,India,21,Odisha,351,Deogarh,2019,"Agriculture Year (Jul - Jun), 2019",171081,70000,11000,4000,6000,1000,10000,9000,10000,50081,51035,954
3450,India,21,Odisha,351,Deogarh,2020,"Agriculture Year (Jul - Jun), 2020",172171,69000,15000,2000,5000,2000,13000,10000,8000,48171,49752,1581
3451,India,21,Odisha,352,Dhenkanal,2011,"Agriculture Year (Jul - Jun), 2011",442310,173762,41000,10000,16000,9000,33000,31000,30000,98548,106027,7479
3452,India,21,Odisha,352,Dhenkanal,2012,"Agriculture Year (Jul - Jun), 2012",447458,173762,43000,10000,13000,11000,39000,32000,33000,92696,99346,6650
3453,India,21,Odisha,352,Dhenkanal,2013,"Agriculture Year (Jul - Jun), 2013",440393,173762,40000,9000,14000,6000,37000,30000,32000,98631,106225,7594
3454,India,21,Odisha,352,Dhenkanal,2014,"Agriculture Year (Jul - Jun), 2014",451762,173762,43000,9000,13000,8000,35000,30000,36000,104000,112755,8755
3455,India,21,Odisha,352,Dhenkanal,2015,"Agriculture Year (Jul - Jun), 2015",333016,55000,44000,9000,15000,9000,38000,32000,41000,90016,96754,6738
3456,India,21,Odisha,352,Dhenkanal,2016,"Agriculture Year (Jul - Jun), 2016",332410,60000,42000,9000,13000,7000,37000,37000,47000,80410,84493,4083
3457,India,21,Odisha,352,Dhenkanal,2017,"Agriculture Year (Jul - Jun), 2017",333052,58000,42000,12000,14000,10000,40000,35000,59000,63052,71849,8797
3458,India,21,Odisha,352,Dhenkanal,2018,"Agriculture Year (Jul - Jun), 2018",334094,53000,42000,8000,15000,9000,36000,36000,42000,93094,96163,3069
3459,India,21,Odisha,352,Dhenkanal,2019,"Agriculture Year (Jul - Jun), 2019",332698,74000,44000,7000,11000,8000,35000,31000,37000,85698,89977,4279
3460,India,21,Odisha,352,Dhenkanal,2020,"Agriculture Year (Jul - Jun), 2020",333204,53000,45000,11000,13000,9000,39000,34000,40000,89204,93235,4031
3461,India,21,Odisha,353,Gajapati,2011,"Agriculture Year (Jul - Jun), 2011",499626,246898,13000,136000,12000,6000,6000,9000,17000,53728,57534,3806
3462,India,21,Odisha,353,Gajapati,2012,"Agriculture Year (Jul - Jun), 2012",493409,246898,12000,134000,11000,6000,6000,10000,17000,50511,56949,6438
3463,India,21,Odisha,353,Gajapati,2013,"Agriculture Year (Jul - Jun), 2013",498696,246898,12000,140000,13000,5000,5000,8000,13000,55798,64234,8436
3464,India,21,Odisha,353,Gajapati,2014,"Agriculture Year (Jul - Jun), 2014",504898,246898,11000,141000,15000,5000,6000,8000,13000,59000,66911,7911
3465,India,21,Odisha,353,Gajapati,2015,"Agriculture Year (Jul - Jun), 2015",309199,52000,16000,140000,13000,6000,6000,5000,14000,57199,63925,6726
3466,India,21,Odisha,353,Gajapati,2016,"Agriculture Year (Jul - Jun), 2016",308883,64000,16000,127000,13000,7000,5000,8000,12000,56883,66305,9422
3467,India,21,Odisha,353,Gajapati,2017,"Agriculture Year (Jul - Jun), 2017",309089,58000,18000,129000,11000,8000,5000,12000,14000,54089,63349,9260
3468,India,21,Odisha,353,Gajapati,2018,"Agriculture Year (Jul - Jun), 2018",308465,68000,17000,110000,12000,16000,3000,10000,18000,54465,59278,4813
3469,India,21,Odisha,353,Gajapati,2019,"Agriculture Year (Jul - Jun), 2019",309154,74000,14000,117000,12000,16000,3000,5000,15000,53154,56824,3670
3470,India,21,Odisha,353,Gajapati,2020,"Agriculture Year (Jul - Jun), 2020",308724,70000,12000,110000,11000,17000,6000,7000,23000,52724,58306,5582
3471,India,21,Odisha,354,Ganjam,2011,"Agriculture Year (Jul - Jun), 2011",863675,314990,74000,51000,17000,20000,17000,30000,65000,274685,308620,33935
3472,India,21,Odisha,354,Ganjam,2012,"Agriculture Year (Jul - Jun), 2012",867664,314990,84000,50000,17000,14000,26000,35000,59000,267674,328863,61189
3473,India,21,Odisha,354,Ganjam,2013,"Agriculture Year (Jul - Jun), 2013",880212,314990,80000,52000,18000,22000,32000,40000,58000,263222,322519,59297
3474,India,21,Odisha,354,Ganjam,2014,"Agriculture Year (Jul - Jun), 2014",866990,314990,71000,53000,16000,13000,27000,37000,57000,278000,337952,59952
3475,India,21,Odisha,354,Ganjam,2015,"Agriculture Year (Jul - Jun), 2015",607652,51000,81000,67000,13000,21000,20000,40000,60000,254652,318116,63464
3476,India,21,Odisha,354,Ganjam,2016,"Agriculture Year (Jul - Jun), 2016",608080,42000,76000,52000,16000,16000,40000,49000,63000,254080,340156,86076
3477,India,21,Odisha,354,Ganjam,2017,"Agriculture Year (Jul - Jun), 2017",607606,56000,82000,79000,13000,13000,60000,57000,53000,194606,268783,74177
3478,India,21,Odisha,354,Ganjam,2018,"Agriculture Year (Jul - Jun), 2018",607776,55000,74000,54000,17000,19000,22000,38000,69000,259776,314095,54319
3479,India,21,Odisha,354,Ganjam,2019,"Agriculture Year (Jul - Jun), 2019",607139,43000,74000,52000,17000,16000,20000,35000,62000,288139,333409,45270
3480,India,21,Odisha,354,Ganjam,2020,"Agriculture Year (Jul - Jun), 2020",608006,36000,75000,57000,16000,17000,30000,37000,60000,280006,325925,45919
3481,India,21,Odisha,355,Jagatsinghapur,2011,"Agriculture Year (Jul - Jun), 2011",181441,13292,41000,0,8000,3000,18000,5000,8000,85149,122888,37739
3482,India,21,Odisha,355,Jagatsinghapur,2012,"Agriculture Year (Jul - Jun), 2012",182274,13292,58000,2000,9000,3000,10000,5000,5000,76982,113925,36943
3483,India,21,Odisha,355,Jagatsinghapur,2013,"Agriculture Year (Jul - Jun), 2013",179955,13292,47000,1000,9000,4000,11000,4000,6000,84663,120528,35865
3484,India,21,Odisha,355,Jagatsinghapur,2014,"Agriculture Year (Jul - Jun), 2014",183292,13292,48000,1000,9000,4000,9000,4000,7000,88000,129977,41977
3485,India,21,Odisha,355,Jagatsinghapur,2015,"Agriculture Year (Jul - Jun), 2015",172565,5000,55000,0,8000,3000,8000,5000,6000,82565,130855,48290
4970,India,31,Lakshadweep,553,Lakshadweep District,2012,"Agriculture Year (Jul - Jun), 2012",3344,0,999,0,0,0,0,0,0,2345,3183,838
3486,India,21,Odisha,355,Jagatsinghapur,2016,"Agriculture Year (Jul - Jun), 2016",172363,1000,44000,0,8000,3000,13000,5000,8000,90363,127850,37487
3487,India,21,Odisha,355,Jagatsinghapur,2017,"Agriculture Year (Jul - Jun), 2017",171766,8000,49000,1000,11000,5000,7000,5000,7000,78766,113230,34464
3488,India,21,Odisha,355,Jagatsinghapur,2018,"Agriculture Year (Jul - Jun), 2018",173858,3000,53000,0,9000,4000,14000,4000,7000,79858,129184,49326
3489,India,21,Odisha,355,Jagatsinghapur,2019,"Agriculture Year (Jul - Jun), 2019",171879,3000,53000,0,8000,2000,10000,5000,8000,82879,126819,43940
3490,India,21,Odisha,355,Jagatsinghapur,2020,"Agriculture Year (Jul - Jun), 2020",170830,5000,47000,0,9000,4000,10000,4000,6000,85830,131364,45534
3491,India,21,Odisha,356,Jajapur,2011,"Agriculture Year (Jul - Jun), 2011",326390,72527,48000,18000,13000,4000,10000,13000,15000,132863,164795,31932
3492,India,21,Odisha,356,Jajapur,2012,"Agriculture Year (Jul - Jun), 2012",315955,72527,49000,12000,12000,5000,10000,11000,14000,130428,157866,27438
3493,India,21,Odisha,356,Jajapur,2013,"Agriculture Year (Jul - Jun), 2013",316968,72527,45000,10000,12000,4000,16000,12000,16000,129441,154566,25125
3494,India,21,Odisha,356,Jajapur,2014,"Agriculture Year (Jul - Jun), 2014",320527,72527,51000,3000,12000,2000,13000,15000,20000,132000,162110,30110
3495,India,21,Odisha,356,Jajapur,2015,"Agriculture Year (Jul - Jun), 2015",266056,20000,56000,5000,11000,4000,11000,13000,26000,120056,143212,23156
3496,India,21,Odisha,356,Jajapur,2016,"Agriculture Year (Jul - Jun), 2016",266204,22000,53000,20000,11000,6000,10000,13000,17000,114204,137638,23434
3497,India,21,Odisha,356,Jajapur,2017,"Agriculture Year (Jul - Jun), 2017",267222,16000,69000,8000,14000,4000,12000,11000,18000,115222,130717,15495
3498,India,21,Odisha,356,Jajapur,2018,"Agriculture Year (Jul - Jun), 2018",267125,7000,59000,7000,14000,4000,14000,17000,23000,122125,142195,20070
3499,India,21,Odisha,356,Jajapur,2019,"Agriculture Year (Jul - Jun), 2019",265879,7000,48000,10000,12000,4000,14000,15000,16000,139879,162998,23119
3500,India,21,Odisha,356,Jajapur,2020,"Agriculture Year (Jul - Jun), 2020",264932,17000,44000,14000,12000,5000,13000,11000,13000,135932,153029,17097
3501,India,21,Odisha,357,Jharsuguda,2011,"Agriculture Year (Jul - Jun), 2011",161239,20244,30000,2000,13000,0,15000,16000,24000,40995,41118,123
3502,India,21,Odisha,357,Jharsuguda,2012,"Agriculture Year (Jul - Jun), 2012",158851,20244,33000,1000,12000,0,16000,18000,19000,39607,39684,77
3503,India,21,Odisha,357,Jharsuguda,2013,"Agriculture Year (Jul - Jun), 2013",162003,20244,28000,6000,8000,1000,15000,24000,17000,42759,42759,0
3504,India,21,Odisha,357,Jharsuguda,2014,"Agriculture Year (Jul - Jun), 2014",162244,20244,30000,2000,8000,1000,10000,14000,8000,69000,71334,2334
3505,India,21,Odisha,357,Jharsuguda,2015,"Agriculture Year (Jul - Jun), 2015",169538,24000,41000,2000,11000,1000,16000,14000,14000,46538,47179,641
3506,India,21,Odisha,357,Jharsuguda,2016,"Agriculture Year (Jul - Jun), 2016",169934,34000,31000,4000,11000,1000,11000,16000,19000,42934,50041,7107
3507,India,21,Odisha,357,Jharsuguda,2017,"Agriculture Year (Jul - Jun), 2017",170072,26000,31000,7000,9000,1000,10000,13000,21000,52072,52325,253
